,truthfulqa_mc2,tydiqa,logiqa,mmlu,hellaswag,arc_challenge,boolq,Average
base,36.73,33.79,26.05,55.14,60.11,47.8,80.64,48.6
ds2,37.48,35.47,27.91,55.19,60.37,48.49,81.16,49.4
full_token,41.73,38.29,27.6,55.33,60.33,49.7,82.4,50.8
random,41.67,37.44,27.6,55.3,60.35,49.61,82.33,50.6
rho,44.41,42.12,28.06,55.35,61.33,50.99,81.87,52.0
fixed_model_cleaning,44.03,40.07,27.91,55.63,61.32,50.9,81.62,51.6
self_evolving_cleaning,49.13,44.65,26.67,55.42,62.23,51.16,82.49,53.1
