,truthfulqa_mc2,tydiqa,logiqa,mmlu,hellaswag,arc_challenge,boolq,Average
ds2,40.96,43.71,24.19,56.92,55.75,44.27,77.33,49.0
full_token,44.22,42.52,24.81,57.07,55.56,45.13,74.0,49.0
random,43.89,40.3,24.5,57.22,55.54,45.22,74.21,48.7
rho,47.51,51.85,26.2,57.15,56.49,46.43,76.87,51.8
fixed_model_cleaning,47.85,51.44,26.05,57.1,56.5,46.34,77.12,51.8
self_evolving_cleaning,52.92,54.4,28.84,56.35,55.72,46.94,77.21,53.2
