,truthfulqa_mc2,tydiqa,logiqa,mmlu,hellaswag,arc_challenge,boolq,Average
ds2,40.82,42.27,24.65,56.86,55.75,43.58,77.36,48.8
full_token,44.22,42.46,25.27,56.9,55.64,45.39,74.03,49.1
random,43.96,41.79,24.81,57.09,55.53,45.22,74.06,48.9
rho,47.53,50.18,26.05,57.17,56.43,46.34,77.05,51.5
fixed_model_cleaning,47.93,52.33,26.2,56.91,56.46,46.17,77.12,51.9
self_evolving_cleaning,52.03,54.04,28.22,56.4,55.73,47.11,77.21,53.0
