,truthfulqa_mc2,tydiqa,logiqa,mmlu,hellaswag,arc_challenge,boolq,Average
ds2,42.76,39.52,24.96,57.12,55.59,45.31,76.28,48.8
full_token,43.32,46.51,24.34,56.87,55.57,44.44,74.68,49.4
random,43.79,46.22,23.41,56.96,55.37,44.44,75.05,49.3
rho,48.86,50.75,26.2,57.15,56.51,45.31,77.21,51.7
fixed_model_cleaning,48.95,51.62,25.89,57.09,56.43,45.39,77.58,51.8
self_evolving_cleaning,51.07,54.69,28.22,56.18,55.81,45.99,77.33,52.8
