,truthfulqa_mc2,tydiqa,logiqa,mmlu,hellaswag,arc_challenge,boolq,Average
ds2,47.06,54.08,27.6,65.84,60.48,53.23,83.38,56.0
full_token,49.88,50.11,27.6,65.78,60.3,54.35,83.11,55.9
random,50.54,53.32,28.37,65.79,60.24,54.69,83.23,56.6
rho,56.24,59.97,28.22,65.76,61.91,54.87,82.3,58.5
fixed_model_cleaning,56.15,61.03,27.75,65.55,61.97,54.87,82.83,58.6
self_evolving_cleaning,59.9,65.08,27.13,65.27,62.66,54.87,82.64,59.6
