,truthfulqa_mc2,tydiqa,logiqa,mmlu,hellaswag,arc_challenge,boolq,Average
ds2,49.57,50.66,27.44,65.8,60.37,53.57,83.38,55.8
full_token,47.51,55.62,28.53,65.78,60.42,54.01,82.49,56.3
random,48.68,55.7,27.29,65.81,60.4,54.09,83.11,56.4
rho,54.63,54.54,28.99,65.74,62.14,54.78,81.66,57.5
fixed_model_cleaning,56.02,62.38,28.22,65.71,61.92,55.12,82.67,58.9
self_evolving_cleaning,59.58,63.58,26.05,65.07,62.67,54.87,82.49,59.2
